iter	Passed	Remaining
0	9	8310
1	11	5046
2	13	4010
3	15	3480
4	17	3137
5	20	2929
6	22	2765
7	24	2635
8	27	2630
9	29	2548
10	31	2477
11	33	2432
12	35	2383
13	37	2338
14	39	2302
15	42	2282
16	44	2251
17	46	2233
18	48	2216
19	50	2187
20	52	2165
21	55	2150
22	57	2160
23	60	2150
24	62	2132
25	64	2116
26	66	2105
27	68	2095
28	71	2093
29	73	2090
30	76	2092
31	78	2088
32	81	2086
33	83	2080
34	85	2078
35	88	2072
36	90	2068
37	93	2067
38	95	2061
39	97	2057
40	100	2055
41	102	2048
42	104	2044
43	107	2044
44	109	2038
45	111	2034
46	114	2036
47	116	2031
48	119	2027
49	121	2028
50	124	2024
51	126	2020
52	129	2018
53	131	2010
54	133	2004
55	135	2002
56	137	1996
57	140	1996
58	142	1994
59	145	1989
60	147	1988
61	150	1985
62	152	1982
63	154	1979
64	157	1985
65	160	1980
66	162	1975
67	165	1981
68	167	1977
69	170	1974
70	172	1972
71	174	1968
72	177	1962
73	179	1957
74	181	1957
75	184	1953
76	186	1950
77	188	1947
78	191	1941
79	193	1937
80	195	1933
81	197	1930
82	200	1926
83	202	1923
84	205	1922
85	207	1916
86	209	1914
87	211	1910
88	214	1907
89	216	1904
90	218	1899
91	220	1895
92	223	1894
93	225	1892
94	228	1890
95	230	1888
96	233	1886
97	235	1885
98	237	1881
99	240	1878
100	243	1881
101	245	1878
102	248	1876
103	250	1873
104	252	1870
105	255	1871
106	258	1868
107	260	1864
108	262	1860
109	264	1858
110	267	1855
111	267	1841
112	270	1840
113	273	1839
114	275	1836
115	277	1833
116	280	1832
117	282	1827
118	284	1825
119	287	1822
120	289	1819
121	291	1816
122	293	1813
123	296	1811
124	298	1808
125	301	1806
126	303	1801
127	305	1799
128	307	1797
129	310	1794
130	312	1792
131	315	1791
132	317	1788
133	319	1786
134	321	1776
135	323	1775
136	325	1772
137	328	1772
138	331	1770
139	333	1767
140	335	1764
141	338	1761
142	340	1758
143	342	1755
144	344	1752
145	347	1749
146	349	1747
147	351	1744
148	354	1741
149	356	1738
150	358	1735
151	360	1732
152	363	1730
153	365	1727
154	367	1724
155	370	1723
156	372	1722
157	374	1718
158	377	1715
159	378	1709
160	381	1708
161	383	1705
162	386	1703
163	389	1703
164	391	1700
165	393	1697
166	396	1695
167	398	1692
168	400	1689
169	403	1688
170	405	1685
171	407	1682
172	409	1678
173	411	1675
174	414	1672
175	416	1669
176	418	1667
177	421	1665
178	423	1662
179	425	1658
180	427	1656
181	430	1654
182	432	1652
183	434	1649
184	437	1647
185	439	1644
186	441	1641
187	443	1638
188	446	1635
189	448	1631
190	450	1629
191	452	1627
192	455	1625
193	457	1623
194	460	1622
195	463	1620
196	465	1618
197	467	1615
198	470	1614
199	472	1612
200	475	1609
201	477	1607
202	479	1604
203	481	1600
204	483	1598
205	486	1596
206	488	1593
207	491	1591
208	493	1588
209	496	1587
210	498	1585
211	501	1584
212	503	1581
213	505	1578
214	508	1576
215	510	1573
216	512	1571
217	515	1568
218	517	1566
219	520	1564
220	522	1563
221	525	1561
222	527	1560
223	530	1557
224	532	1555
225	535	1553
226	537	1551
227	540	1549
228	542	1546
229	545	1545
230	547	1542
231	549	1540
232	552	1538
233	554	1535
234	556	1532
235	559	1530
236	561	1528
237	564	1526
238	566	1524
239	568	1521
240	571	1520
241	574	1518
242	576	1516
243	579	1514
244	581	1511
245	583	1509
246	586	1508
247	590	1508
248	592	1507
249	595	1505
250	598	1504
251	601	1502
252	604	1502
253	607	1501
254	610	1499
255	612	1498
256	615	1496
257	618	1495
258	621	1496
259	624	1494
260	627	1494
261	630	1492
262	633	1490
263	636	1490
264	639	1488
265	642	1486
266	645	1486
267	648	1485
268	651	1484
269	655	1485
270	659	1487
271	663	1487
272	666	1486
273	670	1487
274	673	1486
275	676	1485
276	679	1483
277	682	1482
278	685	1482
279	688	1480
280	691	1479
281	694	1478
282	697	1477
283	701	1476
284	704	1475
285	707	1474
286	710	1473
287	713	1472
288	717	1471
289	720	1471
290	723	1470
291	727	1469
292	730	1468
293	733	1467
294	737	1467
295	741	1467
296	744	1465
297	747	1464
298	751	1464
299	754	1463
300	757	1462
301	760	1461
302	764	1459
303	766	1458
304	770	1457
305	774	1457
306	777	1456
307	780	1455
308	783	1453
309	787	1452
310	790	1451
311	793	1449
312	796	1448
313	799	1446
314	802	1444
315	805	1442
316	807	1439
317	810	1437
318	813	1435
319	816	1433
